Document Information,Contact Information,Permit Information,Property Information,Decision Basis,Included Documents,Granted Exemptions,Building regulations and requirements,Statistics for HmbTG Implementation,URL (link to PDF),Request ID,Residential,Commercial,Other,Time for Decision (months),Number of Full Stories,Exceeded Building Boundary (meters),Exceeded Floor Area Ratio,Number of Exemptions,Permit Type,Issuing Authority,Type of Construction,Number of Documents,building function + requirements,Parcel code 1,Parcel code 2+,District,Building block,Unnamed: 28,Development plan/ implementation plan
"Document Information:
Title: Permit according to HBauO
Creation Date: April 7, 2020","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Bergedorf
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfung - B/WBZ 2
Address: Wentorfer Straße 38 a, 21029 Hamburg
Telephone: 040 - 42891 - 4000 (for appointments)
Telefax: 040 - 427 906 - 047
Email: Baupruefung@bergedorf.hamburg.de
Contact Person: ###
Room: ###
Telephone: 040 - 42891 - ###","Permit Information:
Reference Number: B/WBZ/01092/2020
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: February 13, 2020
Issue Date: April 7, 2020
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 604-007, Flurstücke 2817, 02817, 67 in der Gemarkung: Curslack
Project Description: New construction of a single house with 2 residential units and an operational part with a service apartment","Decision Basis:
Development Plan: Unplanned area in a coherently built-up district according to § 34 BauGB
Regulations: Baugesetzbuch
Preliminary decision: Gz.: B/WBZ/05907/2018 from April 7, 2020 (partially)","Included Documents:
22 / 2 Flurkartenauszug / Karte
22 / 4 Lageplan
22 / 5 Abstandsflächenplan
22 / 6 Grundriss / Erdgeschoss
22 / 7 Grundriss / Dachgeschoss
22 / 8 Grundriss / Spitzboden
22 / 9 Schnitte
22 / 10 Ansicht 1
22 / 11 Ansicht 2
22 / 12 Berechnung / Umbauter Raum
22 / 14 Berechnung / Geschossigkeit
22 / 16 Baubeschreibung","Granted Exemptions:
1. The following building code deviation is permitted according to § 69 HBauO:
   - For the overlapping distance area between the old building and the new building (§ 6 HBauO).

Reason:
There are no objections since the lighting and ventilation of the living spaces are ensured in both the old and new buildings, and there is no risk of fire spread due to the fire-resistant design of the building's end wall. Neighboring interests remain unaffected.","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Not purely residential building
Type of Requested Facility: Building, Building Class 3
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-2-wohneinheiten-und-einem-betriebszugehoerigen-teil-mit-betriebsw,87,0,1,0,2.0,2,,,1,Simplified,Bergedorf,New Construction,16.0,Non-residential,2817.0,"67, 2817",Curslack,,,"built-up district in accordance with § 34 BauGB (non-overplanned area), outdoor area in accordance with § 35 BauGB (non-overplanned area)"
"Document Information:
Title: Permit according to HBauO
Creation Date: December 27, 2016","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung
Address: Klosterwall 6 (City-Hof, Block C), 20095 Hamburg
Telephone: 040 - 4 28 54 - 34 48
Telefax: 040 - 42 79 - 01 54 1
Email: baupruefung@hamburg-mitte.hamburg.de
Contact Person: ###
Telephone: 040 - 4 28 54 - ###
Telefax: ###","Permit Information:
Reference Number: M/BP/02635/2016
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: August 26, 2016
Issue Date: December 27, 2016
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 130-266, Flurstück 2579 in der Gemarkung: Öjendorf
Project Description: New construction of a single house with two apartments with basement (15.10 x 12.08)","Decision Basis:
Development Plan: Bebauungsplan Billstedt 90
Regulations: WR I o, 2 WO, mandatory single houses, GRZ 0.3
Baunutzungsverordnung from January 23, 1990","Included Documents:
29 Lageplan Übersicht; 1:500
30 Lageplan mit Abstandsflächen
5 Grundriss KG
6 Grundriss EG
7 Grundriss / DG; 1:100; Blatt 05
8 Schnitt A-A; 1:100; Blatt 08
9 Schnitt B-B; 1:100; Blatt 09
10 Ansichten Süd + Nord; 1:100; Blatt 06
11 Ansichten Ost + West; 1:100; Blatt 07
12 Baubeschreibung DHH 1
13 Baubeschreibung DHH 2
22 Nachweis der Eingeschossigkeit
39 Flurkartenauszug","Granted Exemptions:
1. The following planning exemption is granted according to § 31 Absatz 2 BauGB:
1.1. For exceeding the building boundary by 3.00 m on a length of 14.98 m by constructing a terrace (§ 23 BauNVO).

Not Granted Exemptions:
1. The following planning exemptions are not granted according to § 31 Absatz 2 BauGB:
1.1. For waiving the open construction method as set in the planning (§ 22 BauNVO).
1.2. For constructing a semi-detached house in an area designated for single houses (§ 22 BauNVO).

Reason:
The exemptions are not acceptable as the conditions of § 31 Abs. 2 BauGB are not met. Granting these exemptions would lead to the creation of ""four-family houses,"" altering the character of the area, which is not intended for multi-family houses. The single administrative error that allowed one semi-detached house does not set a precedent.","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 2
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einzelhauses-mit-zwei-wohnungen-mit-keller-1498-x-1208,88,1,0,0,4.0,1,3.0,0.3,1,Simplified,Hamburg-Mitte,New Construction,13.0,WR I o,2579.0,,Öjendorf,,,Billstedt 90 (development plan)
"Document Information:
Title: Permit according to HBauO
Creation Date: January 9, 2023","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung
Address: Caffamacherreihe 1-3, 20355 Hamburg
Telephone: 040 - 428 54 - 3448
Telefax: 040 - 4279 - 01541
Email: BP@hamburg-mitte.hamburg.de
Contact Person: ###
Telephone: 040 - 428 54 - ###
Telefax: 040 - 4279 - 01541","Permit Information:
Reference Number: M/BP/02006/2022
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: December 12, 2022
Issue Date: January 9, 2023
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 130-152, Flurstück 1092 in der Gemarkung: Kirchsteinbek
Project Description: New construction of a single house with 4 residential units","Decision Basis:
Development Plan: Bebauungsplan Billstedt 14
Regulations: WR I (mandatory), building boundary, street line
Baunutzungsverordnung from June 26, 1962","Included Documents:
0 / 3 Extract from the cadastre / New construction / 1:1000 / from 24.02.22
0 / 4 Site plan with distance areas / 1:200 / from 14.11.22
0 / 5 Site plan and floor plan / ground floor / 1:100 / 1:200 / from 14.11.22
0 / 6 Floor plan / attic / 1:100 / from 14.11.22
0 / 7 Floor plan / attic as proof of storeys / 1:100 / from 14.11.22
0 / 8 Section / proof of storeys / 1:100 / from 14.11.22
0 / 9 Overview plan / elevations / South - East / 1:100 / 14.11.22
0 / 10 Overview plan / elevations / North - West / 1:100 / 14.11.22
0 / 11 Building description / from 14.11.22
0 / 12 Area calculation / gross and net floor area / from 07.03.22
0 / 13 Calculation / floor space index / from 14.11.22","Granted Exemptions:
N/A","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 2
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-einzelhaus-mit-4-we,89,1,0,0,0.9,1,,,0,Simplified,Hamburg-Mitte,New Construction,13.0,WR I o,1092.0,,Kirchsteinbek,,,Billstedt 14 (development plan)
"Document Information:
Title: Permit according to HBauO
Creation Date: July 22, 2016","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Eimsbüttel
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Fachamt Bauprüfung Technische Sachbearbeitung Lokstedt
Address: Grindelberg 62 - 66, 20144 Hamburg
Telephone: 040 - 4 28 01 - 22 33 (Infopunkt WBZ)
Telefax: 040 - 4 27 90 - 30 03
Email: Baupruefung-Lokstedt@eimsbuettel.hamburg.de
Contact Person: ###
Room: ###
Telephone: 040 - 4 28 01 - ###","Permit Information:
Reference Number: E/WBZ2/01066/2016
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: April 25, 2016
Issue Date: July 22, 2016
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 318-104, Flurstück 18181 in der Gemarkung: Niendorf
Project Description: New construction of a single-family house (1 residential unit)","Decision Basis:
Development Plan: Baustufenplan Niendorf / Lokstedt / Schnelsen
Regulations: W I o, building protection area, Baugesetzbuch
Preliminary decision: Gz.: E/WBZ2/00452/2015 from May 19, 2015","Included Documents:
1 / 13 Lageplan
1 / 15 Grundriss / Erdgeschoss
1 / 16 Grundriss / Dachgeschoss
1 / 17 Schnitt
1 / 18 Ansicht Nord-Süd
1 / 19 Ansicht Ost-West
They are binding within the legally regulated scope of examination. The green entries in the templates must be observed.","Granted Exemptions:
1. The following planning exemption is granted according to § 31 Absatz 2 BauGB:
1.1. For exceeding the permissible buildable area by 0.04 to 0.24 for the construction of a single house (§ 11 Abs. 1 Sp. 8 BPVO i.V.m. § 30 BauGB).

Reason:
The exemption for exceeding the permissible buildable area by 0.04 to 0.24 for the construction of a single house is granted. The exceedance is urbanistically justifiable and was already anticipated in the preliminary decision E/WBZ2/00452/2015.","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 1
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses-1we3,90,1,0,0,3.0,1,0.04,0.24,1,Simplified,Eimsbüttel,New Construction,7.0,W I o,18181.0,,Niendorf,,,Niendorf / Lokstedt / Schnelsen (construction plan)
"Document Information:
Title: Permit according to HBauO
Creation Date: May 18, 2016","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung
Address: Klosterwall 6 (City-Hof, Block C), 20095 Hamburg
Telephone: 040 - 428 54 - 3448
Telefax: 040 - 4279 - 01541
Email: Baupruefabteilung@hamburg-mitte.hamburg.de
Contact Person: ###
Telephone: 040 - 428 54 - ###
Telefax: ###","Permit Information:
Reference Number: M/BP/01438/2016
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: May 10, 2016
Issue Date: May 18, 2016
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 130-267, Flurstück 1754 in der Gemarkung: Öjendorf
Project Description: New construction of a single-family house","Decision Basis:
Development Plan: Bebauungsplan Billstedt 90
Regulations: WR 1o max 2 apartments, single houses, GRZ 0.3
Baunutzungsverordnung from January 23, 1990","Included Documents:
0 / 2 Extract from the cadastre from August 4, 2015
0 / 3 Site plan
0 / 4 Floor plan
0 / 5 Section A-A
0 / 6 Elevation
0 / 7 Building description
0 / 10 Calculation / GRZ","Granted Exemptions:
N/A","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 1
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses9,91,1,0,0,1.2,1,0.3,,0,Simplified,Hamburg-Mitte,New Construction,7.0,WR 1 o,1754.0,,Öjendorf,,,Billstedt 90 (development plan)
"Document Information:
Title: Permit according to HBauO
Creation Date: July 17, 2015","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 24
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 428 81 - 0
Telefax: 040 - 427 90 52 24
Email: wbz24@wandsbek.hamburg.de
Contact Person: ###
Room: ###
Telephone: 040 - 428 81 - ###
Telefax: ###","Permit Information:
Reference Number: W/WBZ/17440/2014
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: January 2, 2015
Issue Date: July 17, 2015
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 525-051, Flurstück 1752 in der Gemarkung: Volksdorf
Project Description: New construction of a residential house","Decision Basis:
Development Plan: Bebauungsplan Volksdorf 43
Regulations: WR II o, max. 2 apartments, single house, allowable buildable area 200 m²
Baunutzungsverordnung from January 23, 1990
Preliminary decision: Gz.: W/WBZII/00506/2012 from June 14, 2012, extended until June 13, 2015","Included Documents:
1 / 6 Grundriss / Erdgeschoss
1 / 7 Grundriss / Obergeschoss
1 / 8 Grundriss / Dachgeschoss
1 / 9 Schnitte
1 / 10 Ansichten
1 / 24 Flurkartenauszug / Buch
1 / 25 Lageplan mit Außenanlagen
1 / 26 Lageplan mit Abstandsflächen","Granted Exemptions:
1. Following planning exemption is granted according to § 31 (1) BauGB in the preliminary decision:
   - For a minor protrusion beyond the building boundary by 3.25 m (§ 23 Abs. 3 BauNVO).

2. Following building code deviation is permitted according to § 69 HBauO:
   - For allowing an ancillary building in the front garden within a residential area (§ 9 Abs. 2 HBauO).

Condition:
   - The roof of the shed must be extensively greened.","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Not purely residential building
Type of Requested Facility: Building, Building Class 1
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-eines-wohnhauses2,92,1,0,0,6.5,2,3.25,,1,Simplified,Wandsbek,New Construction,9.0,WR II o,1752.0,,Volksdorf,,,Volksdorf 43 (development plan)
"Document Information:
Title: Permit according to HBauO
Creation Date: October 21, 2019","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Wandsbek
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, WBZ 24
Address: Schloßgarten 9, 22041 Hamburg
Telephone: 040 - 428 81 - 0
Telefax: 040 - 427 90 52 24
Email: wbz24@wandsbek.hamburg.de
Contact Person: ###
Room: ###
Telephone: 040 - 428 81 - ###
Telefax: ###","Permit Information:
Reference Number: W/WBZ/05263/2019
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: April 3, 2019
Issue Date: October 21, 2019
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 523-073, Flurstücke 2288, 2289, 2290, 2291 in der Gemarkung: Ohlstedt
Project Description: New construction of single-family houses","Decision Basis:
Development Plan: Bebauungsplan Wohldorf-Ohlstedt 19 - Draft
Regulations: WR I only single houses GRZ 0.3
Baunutzungsverordnung from January 23, 1990","Included Documents:
1 / 7 Floor plan upper floor
1 / 8 Floor plan attic
1 / 9 Roof view
1 / 10 Section
1 / 11 Elevation North
1 / 12 Elevation East
1 / 13 Elevation South
1 / 14 Elevation West
1 / 22 Description of outdoor facilities
1 / 23 Open space plan - section East
1 / 24 Site plan
1 / 25 Floor plan ground floor
1 / 26 Building and project description","Granted Exemptions:
1. Exception permit according to § 4 of the ordinance on the protection of tree stands and hedges in the Free and Hanseatic City of Hamburg (Tree Protection Ordinance) from September 17, 1948, in the current version.
   - For felling the trees as per the application for exception permit dated March 3, 2019, due to construction hindrance and lack of development possibilities, as well as carrying out the requested pruning and maintenance measures on the tree stock.","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.

Conditions:
1. A tree expert must be appointed to oversee the implementation of tree protection requirements on the construction site and advise the builders or architects/garden architects as needed.
2. Compliance with species protection regulations must be ensured. The non-affection of prohibitions according to § 44 BNatSchG must be professionally secured. It is prohibited to capture, injure, or kill wild animals of specially protected species and their developmental forms or to damage or destroy their developmental forms and reproductive or resting places (e.g., nests, building gaps). This also applies to all animals in their sleeping and resting places (hollow trees, brush piles, etc.).
3. The entire area must be thoroughly inspected for relevant structures and potential findings before starting work. A corresponding proof must be promptly submitted to the Nature Conservation Department.
4. Exception permits for positive findings must be obtained from the Authority for Environment and Energy (BUE), Dept. Nature Conservation.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 1
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-von-einfamilienhaeusern,93,1,0,0,6.5,1,,,1,Simplified,Wandsbek,New Construction,13.0,WR I o,2289.0,"2290, 2291, 2288",Ohlstedt,,,Wohldorf-Ohlstedt 19 (development plan)
"Document Information:
Title: Permit according to HBauO
Creation Date: May 21, 2021","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Bergedorf
Department: Zentrum für Wirtschaftsförderung, Bauen und Umwelt, Bauprüfung - B/WBZ 2
Address: Wentorfer Straße 38 a, 21029 Hamburg
Telephone: 040 - 42891 - 4000 (for appointments)
Telefax: 040 - 427 906 - 047
Email: Baupruefung@bergedorf.hamburg.de
Contact Person: ###
Room: ###
Telephone: 040 - 42891 - ###","Permit Information:
Reference Number: B/WBZ/01072/2021
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: February 26, 2021
Issue Date: May 21, 2021
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 607-045, Flurstück 9840 in der Gemarkung: Kirchwerder
Project Description: New construction of three single-family houses with a total of 6 residential units","Decision Basis:
Development Plan: Unplanned area in a coherently built-up district according to § 34 BauGB
Regulations: Baugesetzbuch","Included Documents:
4 / 1 Extract from the cadastre / map
4 / 2 Extract from the cadastre / book
4 / 3 Site plan
4 / 4 Site plan - outdoor facilities + GRZ
4 / 5 Site plan - distance areas + demolition
4 / 6 Floor plan / ground floor
4 / 7 Floor plan / upper floor
4 / 8 Section
4 / 9 Elevations
4 / 10 Floor plan / ground floor
4 / 11 Floor plan / upper floor
4 / 12 Section
4 / 13 Elevations
4 / 14 Street view
4 / 19 Building description
4 / 20 Building description","Granted Exemptions:
N/A","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.

Conditions:
1. On the mentioned property, there is an area no. 7620-101/00 (former gas station) classified as ""completed (was not AvF)"" registered in the soil condition register of the Authority for Environment and Energy (BUE). During construction measures and earthworks, additional costs for the disposal of excavated soil or construction pit water may arise.
2. The property is located in a project area of the Authority for Environment and Energy (BUE) (GasBW-000), which includes an area of the Elbmarsch, where organic soft layers (clay, mud, and peat) are present in the subsoil. Due to decomposition processes in these soils, soil gases (methane [CH4] and carbon dioxide [CO2]) can naturally form. These gases can rise to near-surface soil layers, accumulate especially under sealed/built-up areas, and potentially penetrate buildings. However, according to current knowledge, these soft layers are not present in relevant thicknesses (> 2m) for the formation of soil gases in the area of the property. If soft layers with a thickness > 2m are encountered or known in the area of the construction project, structural safety measures to prevent gas accumulations and gas entries into the building must be provided, such as a gravel filter layer, gas-tight pipe penetrations, no enclosed spaces below the floor (§ 16 HBauO).
3. Topsoil must be preserved in a usable condition and protected from destruction or waste (§ 202 Baugesetzbuch). Excavated material, including topsoil, must be reused or recycled according to the applicable waste and soil protection regulations of the Federal Republic and the Free and Hanseatic City of Hamburg in accordance with § 6 Kreislaufwirtschaftsgesetz (KrWG). If reuse or recycling is not feasible according to legal requirements, the excavated material must be disposed of. For the reuse of excavated material suitable for creating a rootable soil layer or for placing in rootable soil layers due to its properties (humus content, absence of contaminants, structure), the requirements of § 12 Bundes-Bodenschutz- und Altlastenverordnung (BBodSchV) must be observed.
4. If irregularities in the subsoil (discoloration, odor, gas emissions) are detected during soil investigations or construction measures, the District Office Bergedorf, Technical Environmental Protection (Verbraucherschutz@bergedorf.hamburg.de) must be notified. Outside office hours, the damage management of the Authority for Environment and Energy, Tel.: 040/428 40-2300, must be informed (§ 1 Abs. 1 Hamburgisches Bodenschutzgesetz).
5. The start of construction must be reported to the building supervisory authority at least one week in advance (§ 72a Abs. 4 HBauO).
6. The intended use of the building must be reported to the building supervisory authority at least two weeks in advance (§ 77 Abs. 2 HBauO).","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 2
Number of Full Stories: 2 Full Stories",https://suche.transparenz.hamburg.de/dataset/neubau-von-drei-einzelhaeusern-mit-insgesamt-6-we,94,1,0,0,3.5,2,,,1,Simplified,Bergedorf,New Construction,13.0,WR II o,9840.0,,Kirchwerder,,,district developed in accordance with Section 34 of the BauGB (not overplanned area)
"Document Information:
Title: Permit according to HBauO
Creation Date: October 10, 2014","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Altona
Department: Dezernat Wirtschaft, Bauen und Umwelt, A/WBZ2 Fachamt Bauprüfung
Address: Jessenstraße 1 - 3, 22767 Hamburg
Telephone: 040 - 4 28 11 - 63 63
Telefax: 040 - 427 31 1276
Email: Zentrum-Wirtschaft-Bauen-Umwelt@altona.hamburg.de
Contact Person: ###
Room: ###
Telephone: 040 - 4 28 11 - ###","Permit Information:
Reference Number: A/WBZ/05464/2014
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: July 24, 2014
Issue Date: October 10, 2014
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 220-061, Flurstück 5433 in der Gemarkung: Lurup
Project Description: New construction of a single-family house with two parking spaces","Decision Basis:
Development Plan: Bebauungsplan Lurup 57
Regulations: WR I o, 1 Wo, single houses, GFZ 0.3, GR 120 m², roof pitch between 33° and 45°, only roof tiles, walls in red brick, building window
Baunutzungsverordnung from January 23, 1990","Included Documents:
1 / 28 Site plan
1 / 29 Ground floor plan
1 / 30 Attic floor plan
1 / 31 Section A-A
1 / 32 Elevation East
1 / 33 Elevation West
1 / 34 Elevation North
1 / 35 Elevation South
They are binding within the legally regulated scope of examination. The green entries in the templates must be observed.","Granted Exemptions:
1. The following building code deviation is permitted according to § 69 HBauO:
   - The new building should be constructed with red-yellow bricks instead of red bricks according to 5.3.

Reason:
The deviation is granted as there are no objections.","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.

Conditions:
1. The start of construction must be reported to the building supervisory authority at least one week in advance (§ 72a Abs. 4 HBauO).
2. The intended use of the building must be reported to the building supervisory authority at least two weeks in advance (§ 77 Abs. 2 HBauO).
3. Additional instructions, leaflets, and brochures for your construction execution can be found at the link: ""http://www.hamburg.de/baugenehmigung/583468/start-merkblaetter.html"".","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Residential Building
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-einfamilienhauses-mit-zwei-stellplaetzen,95,1,0,0,2.8,1,,,1,Simplified,Altona,New Construction,8.0,WR I o,,,,,,
"Document Information:
Title: Permit according to HBauO
Creation Date: June 6, 2018","Contact Information:
Issuing Authority: Freie und Hansestadt Hamburg, Bezirksamt Hamburg-Mitte
Department: Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Bauprüfung
Address: Caffamacherreihe 1-3, 20355 Hamburg
Telephone: 040 - 428 54 - 3448
Telefax: 040 - 4279 - 01541
Email: baupruefung@hamburg-mitte.hamburg.de
Contact Person: ###
Room: ###
Telephone: 040 - 428 54 - ###
Telefax: ###","Permit Information:
Reference Number: M/BP/00615/2018
Permit Type: Simplified permit procedure according to § 61 HBauO
Date of Receipt: April 19, 2018
Issue Date: June 6, 2018
Validity: 3 years (can be extended up to 1 year each upon request)","Property Information:
Location: Baublock 130-267, Flurstück 2626 in der Gemarkung: Öjendorf
Project Description: New construction of a residential house with 2 residential units","Decision Basis:
Development Plan: Bebauungsplan Billstedt 90
Regulations: WR I o; 2 Wo; GRZ 0.3; only single houses
Baunutzungsverordnung from January 23, 1990","Included Documents:
2 / 4 Ground floor plan from 10.04.18, 1:100
2 / 5 Attic floor plan from 10.04.18, 1:100
2 / 6 Floor plan / attic from 10.04.18, 1:100
2 / 11 Building description from 12.04.18
2 / 16 Site plan from 26.04.2018
2 / 19 Sections from 10.04.2018
2 / 20 Elevation North and West from 10.04.2018
2 / 21 Elevation South and East from 10.04.2018
They are binding within the legally regulated scope of examination. The green entries in the templates must be observed.","Granted Exemptions:
N/A","Building regulations and requirements:
1. The building permit expires if construction has not begun within three years of issuance or if construction is interrupted for more than one year. It can be extended on written application for up to one year each time.
2. The approval does not replace the need to obtain other public law decisions.","Statistics for HmbTG Implementation:
Type of Construction: New Construction
Type of Building by Future Use: Pure Residential Building
Type of Requested Facility: Building, Building Class 1
Number of Full Stories: 1 Full Story",https://suche.transparenz.hamburg.de/dataset/neubau-eines-wohnhauses-mit-2-wohneinheiten,96,1,0,0,1.8,1,,,0,Simplified,Hamburg-Mitte,New Construction,7.0,WR I o,2607.0,,Öjendorf,,,Billstedt 90 (development plan)
